Code,Name,Description,DesignWeight,DesignQuestion,OperationalWeight,OperationalQuestion,DesignChoice1,DesignChoice2,DesignChoice3,DesignChoice4,DesignChoice5,OperationalChoice1,OperationalChoice2,OperationalChoice3,OperationalChoice4,OperationalChoice5
S.MLP,Maturity level of security policies in place,"The maturity level of a company's security policy management is determined by the amount of analysis, automation, and process that can involve security administrators, network operations, compliances, application owners, and management.",1,,1,,"None or limited provision for information system inventory, asset registration, or maturity assessment in software design engineering","Provision fro ISMS/IDMS, information system inventory and asset registration","Provision for ISMS/IDMS, information system inventory, asset registration and maturity assessment in software design engineering",,,None or limited engineering maturity assessment,Security function verification,Software & firmware integrity,Firmware integrity and input validation,Full software maturity support
S.FAM,SSO or federated access Mngt support,"Single sign-on (SSO) and federated access management are two related concepts in identity and access management (IAM) that allow users to access multiple applications and systems using a single set of credentials.

SSO refers to a system that enables users to authenticate themselves once and then access multiple applications or systems without having to log in again. With SSO, users only need to enter their credentials once, and then they are automatically authenticated for all subsequent applications or systems they access.

Federated access management, on the other hand, allows users to access resources across multiple organizations or domains using a single set of credentials. Federated access management relies on the use of standard protocols, such as Security Assertion Markup Language (SAML) or OAuth, to enable secure and seamless authentication and authorization across different domains.

Both SSO and federated access management provide several benefits, including increased productivity for users, simplified IAM processes for administrators, and improved security by reducing the need for multiple sets of credentials.",1,,1,,No segregation of duties (SoD) were considered.,Segregation of duties (SoD) is provisioned.,"Segregation of duties (SoD) is considered, as well as entitlement catalogue",,,,,,,
S.VM,Vulnerability Management,"Vulnerability management is a process for identifying, evaluating, prioritizing, and mitigating vulnerabilities in an organization's IT infrastructure. Vulnerabilities are weaknesses or flaws in software, hardware, or systems that could be exploited by attackers to gain unauthorized access, steal data, or disrupt operations.

The vulnerability management process typically involves the following steps:

Discovery: The first step is to identify all assets and systems within an organization's IT infrastructure. This includes hardware, software, network devices, and any other systems that could be vulnerable to attack.

Assessment: Once the assets are identified, the next step is to assess each one for vulnerabilities. This can be done using automated vulnerability scanners, penetration testing, or manual assessment.

Prioritization: After vulnerabilities are identified, they need to be prioritized based on their severity and potential impact on the organization. This helps to ensure that the most critical vulnerabilities are addressed first.

Remediation: Once vulnerabilities are prioritized, the next step is to develop a plan for remediation. This may involve installing patches, configuring systems correctly, or implementing other security controls.

Monitoring: Finally, it is important to continually monitor systems for new vulnerabilities and potential threats to ensure ongoing protection.",1,,1,,No vulnerability or patch management processes are considered.,"Vulnerability management and scoring is provisioned, however, without checklists and testing procedures.","Vulnerability management and scoring is provisioned, with corresponding checklists and testing procedures.",,,Vulnerability and patch are not deployed or not measured.,"Vulnerability and patch management is deployed, however, part of the system is still subject to critical issues.","Vulnerability and patch management is deployed, covering the entire system.",,
S.RR,Risk Response,"Risk response refers to the actions taken by an organization to manage and mitigate risks to its operations, assets, and reputation. Risk response involves identifying and evaluating risks, developing strategies to address them, and implementing controls to reduce the likelihood or impact of a risk event.

There are four main strategies for risk response, known as the four T's:

Transfer: Transferring risk involves transferring the risk to another party, such as an insurance provider or a third-party vendor. This can help to reduce the financial impact of a risk event.

Treat: Treating risk involves implementing controls to reduce the likelihood or impact of a risk event. This may involve implementing technical controls, such as firewalls or encryption, or operational controls, such as training or policies and procedures.

Terminate: Terminating risk involves eliminating the risk altogether by discontinuing a business process or activity that poses a significant risk to the organization.

Tolerate: Tolerating risk involves accepting the risk and its potential impact, while implementing controls to reduce the likelihood or impact of a risk event.",1,,1,,No asset valorization and no risk assessment is performed.,Asset valorization is performed but no risk assessment is performed. ,Asset valorization nd risk assessment are performed.,,,No asset valorization and no risk assessment are reviewed.,Asset valorization is reviewed but no risk assessment is reviewed.,Asset valorization and risk assessment are reviewed. ,,
S.SC,Systems & Communications Protection,"The systems and communications protection policy establishes the rules required to properly establish network segmentation and boundary protection throughout the organisation, as well as the rules required to implement cryptography.  In addition, this policy establishes rules regarding acceptable communication channels and mechanisms to ensure that their authenticity is maintained.",1,,1,,"No provision for communication, protection and control policies.",Provision for communication and protection policies.,"Provision for communication and protection policies, and directives for boundary protection",,,"Communication, protection or control policies have not been applied.","Communication and protection policies have been applied, without network segmentation.","Communication and protection policies have been applied, with network segmentation.",,
P.CDM,Collection and Data minimisation,"Collection and data minimization are two fundamental principles of data protection that organizations must adhere to when handling personal information. These principles are essential to ensure that organizations only collect and use personal information that is necessary for their business purposes, and that they do so in a transparent and lawful manner.

Data collection refers to the process of gathering personal information from individuals for specific purposes. To comply with data protection regulations, organizations must ensure that data collection is necessary, transparent, and lawful. They must also obtain the individual's consent to collect their personal information, or have another lawful basis for processing the data, such as a legal obligation or legitimate interest.

Data minimization refers to the practice of limiting the collection and processing of personal information to only what is necessary for the specific purpose. This involves analyzing the personal information that is collected and ensuring that it is relevant, accurate, and necessary for the purpose for which it is collected. Organizations must also ensure that they do not keep personal information for longer than necessary, and that they securely dispose of it when it is no longer needed.

By adhering to the principles of collection and data minimization, organizations can reduce the risks associated with handling personal information, such as unauthorized access or misuse. They can also build trust with individuals by demonstrating a commitment to protecting their privacy and personal data. Ultimately, these principles are essential for ensuring that organizations comply with data protection regulations and uphold the rights of individuals to control their personal information.",1,,1,,Purpose or rational for the data collection is not clear,Purpose and rational for the data collection are clear ,Minimal data collection is conducted to achieve the purpose and rationale,,,Data quality and provenance are not validated,Quality and provenance are validated for most of data,Quality and provenance are validated for all data,,
P.UC,"User Consent for attributes' collection, processing, re-use and release",User consent is the permission granted by users to a website or organization to proceed with their data collection. ,1,,1,,User consent is not considered,User consent is considered but data processing is unclear,User consent on data and processing has been obtained via DPIA,,,User consent has not been obtained,User consent is periodically assessment,User consent is compliant with RIPA/DRIPA,,
P.LAR,Limited attribute retention,"Limited attribute retention is a principle of data protection that involves retaining personal data attributes only for as long as necessary for the purpose for which it was collected. Personal data attributes are pieces of information that can be used to identify an individual, such as name, email address, or date of birth.

The principle of limited attribute retention is based on the idea that personal data should not be retained for any longer than necessary to achieve the purpose for which it was collected. Once that purpose is achieved, personal data should be securely disposed of, deleted or anonymized to minimize the risk of unauthorized access, misuse, or breaches.

Limited attribute retention is an essential principle of data protection because it ensures that personal data is not held for longer than necessary, reducing the risks associated with the storage and processing of personal data. By deleting or anonymizing personal data attributes that are no longer needed, organizations can reduce the risk of unauthorized access or misuse, as well as mitigate the potential impact of data breaches.",1,,1,,No provision for data archiving or retention protocols,Provison for data archiving or retention protocols,,,,No compliance with European Data Protection Directive 95/46/EC,Compliance with European Data Protection Directive 95/46/EC,,,
P.RIP,Remote Identity Proofing and Non-Face-to-face Onboarding,"Remote identity proofing and non-face-to-face onboarding are two related concepts in identity verification that involve verifying an individual's identity without requiring physical interaction or face-to-face contact.

Remote identity proofing involves using digital identity verification methods to verify an individual's identity remotely, without requiring them to be physically present. This may involve using biometric data, such as fingerprints or facial recognition, or verifying personal data attributes, such as name, date of birth, and address, through public records or other sources.

Non-face-to-face onboarding is the process of onboarding new customers or employees remotely, without requiring them to be physically present. This may involve using remote identity proofing methods to verify the individual's identity, as well as other digital verification methods, such as document verification or video-based verification.

Remote identity proofing and non-face-to-face onboarding are increasingly used by organizations, particularly in industries such as financial services and healthcare, where there is a need to verify the identity of customers or patients remotely. These methods can provide greater convenience and accessibility for individuals, as well as cost savings and efficiencies for organizations.",1,,1,,"No provision for Combined Remote identity proofing methods, or other forms of identity confirmation.",Availabilit of Combined Remote identity proofing methods and forms of identity confirmation.,,,,Only plain identity proofing is deployed.,"Baseline assessment of the validity of identity proofs, with randomization of the identity proofing process.",,,
P.UL,Use Limitation,"Use limitation is a principle of data protection that requires organizations to limit the use of personal data to only those purposes for which it was collected. Personal data is any information that can be used to identify an individual, such as name, email address, or date of birth.

The principle of use limitation is based on the idea that personal data should only be used for the purpose for which it was collected, and not for any other purposes. This helps to protect the privacy and security of individuals' personal data, as well as prevent the misuse of personal data by organizations.

To adhere to the principle of use limitation, organizations must clearly define the purpose for which personal data is collected and ensure that it is only used for that purpose. They must also obtain the individual's consent for the specific use of their personal data, or have another lawful basis for processing the data, such as a legal obligation or legitimate interest.",1,,1,,No DUL is consideredDUL is considered,DUL is considered,"DUL is considered, also covering data processing",,, DUL not considers changes in purposes,"DUL is obtained for changes in purposes, only if compatible with the original",DUL is obtained for all changes in purposes,,
P.IDA,ID attributes collected fit for scope and purpose,"Ensuring that ID attributes collected are fit for scope and purpose is an important aspect of data protection. ID attributes are personal data elements that can be used to identify an individual, such as name, date of birth, address, social security number, passport number, and driver's license number.

To ensure that ID attributes collected are fit for scope and purpose, organizations must first define the specific purpose for which they are collecting the data. They must then carefully select and collect only those ID attributes that are necessary and relevant for that purpose. This means that any personal data collected must be directly related to and necessary for the purpose for which it is collected.",1,,1,,"ID cannot be revocated, updated, or renewed ",ID can be revocated,ID can be revocated and updated,,,"No Attribute-based encryption, no PIM, no inter-directory provisioning, no data mapping, no GDPR conformance","Attribute-based encryption applied, as well as Privileged Identity Management (PIM) services, are deployed.","Attribute-based encryption applied, Privileged Identity Management (PIM) services, in conformance with GDPR.",,
P.TIP,Troubleshooting identity proofing,"Troubleshooting identity proofing involves identifying and resolving issues that may arise during the identity verification process. Identity proofing is the process of verifying an individual's identity to ensure that they are who they claim to be, and it is critical to many industries, such as financial services, healthcare, and government.

Some common issues that may arise during identity proofing include:

Technical issues: Technical issues, such as system downtime, connectivity issues, or software bugs, can prevent the identity verification process from proceeding smoothly. Troubleshooting technical issues may require IT support and expertise.

Data accuracy issues: Identity verification often relies on personal data attributes, such as name, date of birth, and address. If these data attributes are inaccurate or outdated, the identity verification process may fail. Troubleshooting data accuracy issues may require additional verification methods or validation processes.

Fraudulent activity: Fraudulent activity, such as identity theft or the use of fake credentials, can also prevent the identity verification process from succeeding. Troubleshooting fraudulent activity may require additional security measures, such as biometric verification or additional identity verification checks.",1,,1,,No provision for user profile sanitisation processes.,"Provision for user profile sanitisation processes, identity graphs and an in-build record management system.",,,,Log data correlation not implemented.,Log data correlation implemented.,,,
P.PIA,Privacy Impact Assessment (PIA),"Privacy Impact Assessment (PIA) is a systematic process for identifying, assessing, and mitigating privacy risks associated with the collection, use, and sharing of personal data. A PIA is typically conducted before implementing new projects, systems, or technologies that involve the processing of personal data.

The goal of a PIA is to ensure that privacy risks are identified and mitigated, and that the collection, use, and sharing of personal data is done in compliance with applicable privacy laws and regulations.",1,,1,,No PIA/DPIA is considered,DPIA considered from the design stage,DPIA considering all stakeholder categories,"Complete DPIA with risk register, guidance document and screening checklist",,PIA/DPIA outcomes are not communicated to partecipants,"PIA/DPIA outcomes are visible, and periodically updated",,,
P.PRMP,Privacy Risk Mitigation Plans,"Privacy risk mitigation plans are a critical aspect of data protection that involve developing strategies and implementing measures to reduce the risks associated with the collection, processing, and storage of personal data. Privacy risk mitigation plans are typically developed as part of a privacy impact assessment (PIA) and may also be required by data protection regulations.",1,,1,,"No privacy controls, and no privacy risk criteria provisioned.","Privacy controls are provisioned, but no privacy risk criteria.","Privacy controls are provisioned, as well as privacy risk criteria.",,,Privacy risk mitigation accountability not established.,Privacy risk mitigation accountability enstablished.,"ICO consulting procedures for residual high risk(s), and 3d party privacy risk assessment conducted.",,
P.WDPP,Well defined privacy models and policies,"Well-defined privacy models and policies are critical aspects of data protection that help organizations to manage personal data in a way that respects individuals' privacy and rights. Privacy models and policies provide a framework for the collection, use, and sharing of personal data, and ensure that these activities are conducted in compliance with applicable privacy laws and regulations.

Privacy models are conceptual frameworks that define the basic principles and values that underpin an organization's approach to privacy. Privacy models may vary depending on the organization's mission, culture, and industry, but generally include principles such as transparency, fairness, and accountability.

Privacy policies are written documents that describe an organization's practices and procedures for collecting, using, and sharing personal data. Privacy policies typically include information about the types of personal data collected, the purposes for which it is used, and the measures taken to protect the data from unauthorized access or disclosure.",1,,1,,No PRF is considered,PRF is considered with clear vision and mission statement,PRF is aligned with ISO27001 and NIST SP800-53,,,No PRF is deployed,PRF deployed with interest assessment,PRF deployed with interest and data breach readiness statements,"PRF deployed with interest, data breach readiness and data transfer statements","PRF deployed with interest, data breach readiness, data transfer and privacy threshold statements"
P.SU,Secondary use service,SUS is a secure data warehouse that maintains identity data according to (inter)national standards and uses complicated derivations to assist policy and secondary analysis.,1,,1,,No SUS is considered,SUS is considered,"SUS is considered, together with control and flow policies",,,No flow or policies control/enforcements,Full flow control and policy enforcements,,,
P.PS,Privacy Standard(s),"Conformance to recognised privacy standards like ISO 27701, GDPR, ISO/IEC 27550, etc.",1,,1,,No Provision for a PIM  as part of the DID System,Provision for a PIM  as part of the DID System,,,,No conformance with any of the standards.,Conformance with ISO 27701,Conformance with ISO GDPR,,
RO.EO,Expected outcomes from unexpected inputs,"Unexpected inputs refer to any data that is not anticipated or is outside the normal range of data inputs that a system is designed to handle.

Unexpected inputs can occur due to various reasons, such as software bugs, system errors, or malicious attacks. These unexpected inputs can cause systems to crash, corrupt data, or even compromise the security of a system.

To mitigate the risks associated with unexpected inputs, organizations must implement appropriate measures to detect, prevent, and respond to unexpected inputs. This may involve implementing data validation checks, intrusion detection systems, and firewalls to prevent unauthorized access to data.",1,,1,,No Provision for managing improper input validation,Provision for managing improper input validation,,,,No Improper neutralisation or input validation framework,Neutralisation and input validation frameworks are deployed,,,
RO.PD,In time provisioning and de-provisioning processes,"In time provisioning and de-provisioning processes

Provisioning and deprovisioning involves creating, updating, and deleting user identities across numerous applications and systems. ",1,,1,,No plans for (de)provisioning,Enterprise-class (de)provisioning is considered,(De)Provisioning processes with data correlation/aggregation,,,Not capable of switching to an alternative version of a process or service.,"Possibility to switch to an alternative version of a process or service, with standard migration tools.","Possibility to switch to an alternative version of a process or service, with standard migration and monitoring tools.",,
RO.TPV,Tolerate process variability in operating and environmental conditions,"olerating process variability in operating and environmental conditions is an important aspect of ensuring the reliability and robustness of systems and processes. Variability refers to any deviations or fluctuations in the inputs, parameters, or conditions that affect the performance of a system or process.

Tolerating process variability involves designing systems and processes that can function effectively and efficiently despite variations in operating and environmental conditions. This may involve implementing measures such as redundancy, fault tolerance, or error correction to mitigate the impact of variability on the system or process.",1,,1,,"No provision for performance baseline, or storage monitoring system",Provision for performance baseline,Provision for performance baseline and storage monitoring system,,,Missing indicators of actual system performance.,Basic indicators of actual system performance,"Indicators of actual system performance, including storage and I/O metrics.",,
RO.EMR,Evidence of maintainability Requirements,"Maintainability requirements are an important aspect of software engineering that focus on the ease with which a software system can be modified or repaired over time. Evidence of maintainability requirements can be demonstrated through several means, including:

Code documentation: Code documentation provides a detailed explanation of the software code, making it easier for developers to understand and modify the code. Evidence of maintainability requirements can be demonstrated by the presence of clear and comprehensive code documentation.

Code reviews: Code reviews involve a systematic examination of the software code by other developers to identify issues and suggest improvements. Evidence of maintainability requirements can be demonstrated by conducting regular code reviews to ensure that the code is maintainable and up-to-date.

Testing: Testing involves executing the software system to verify its functionality and identify defects. Evidence of maintainability requirements can be demonstrated by conducting regular testing to ensure that the software is maintainable and can be modified or repaired as needed.

Version control: Version control involves tracking changes to the software code over time, making it easier to identify and revert changes as needed. Evidence of maintainability requirements can be demonstrated by implementing version control systems that facilitate software maintenance and repair.",1,,1,,No evidence of maintainability requirements.,Maintainability requirements are defined.,,,,"No tracking of entitlements, or maintainability demonstration(s) are in place.",Manual tracking of entitlements is in place.,Tracking of entitlements and maintainability demonstration(s) are in place.,,
E.DPP,Data and process provenance,"Data and process provenance are concepts in data management and data governance that refer to the origin, history, and lineage of data and the processes that produced it. Data provenance involves tracking the history of data from its creation or acquisition to its current state, including any transformations or modifications that were made to it. Process provenance involves tracking the history of the processes and activities that were performed on the data, including any analyses, transformations, or modifications that were made to it.",1,,1,,"Missing data-scoping document, data provenance is not described, data quality and handling rules are not provisioned.","Data-scoping document is available with a description of the data provenance, however, data quality and handling rules are not provisioned.","Data-scoping document is available with a description of the data provenance, data quality and handling rules are available.",,,No verification of the collected data is performed.,Periodic verification that the collected data reside in the declared scope is performed.,"Periodic verification of data-scoping is performed, as well as the mantainment of provenance records.","Data-scoping, data provenance and data quality evaluation processes are in plac",
E.E,Evidence of user empowerment to monitor use and potential misuse,"Empowering users to monitor the use and potential misuse of their personal data is an important aspect of data protection that helps to ensure transparency and accountability in the processing of personal data. Evidence of user empowerment to monitor use and potential misuse of their personal data can be demonstrated through several means, including:

Access to personal data: Providing users with access to their personal data enables them to monitor how their data is being used, and to identify any potential misuse or unauthorized access.

Consent management: Providing users with control over how their personal data is collected, used, and shared through consent management mechanisms can empower them to make informed decisions about how their data is processed.

Privacy settings: Providing users with the ability to control their privacy settings, such as opting out of certain data processing activities or limiting the sharing of their personal data, can give them greater control over their personal data and help to mitigate the risks of potential misuse.

Reporting mechanisms: Providing users with reporting mechanisms, such as a data breach reporting process or a privacy complaint mechanism, can enable them to report any potential misuse or unauthorized access to their personal data.",1,,1,,,,,,,Users has not possibility to monitor their own data.,Users can track legitimate use of their data.,Users has full control over their data.,,
E.OP,"""Openness"" of systems and algorithms managing the DIMS","The ""openness"" of systems and algorithms managing the DIMS refers to the degree of transparency and accessibility of the systems and algorithms used to manage digital identity management systems (DIMS). An open system or algorithm is one that is transparent, accessible, and understandable to users and stakeholders, and is designed to be interoperable with other systems and algorithms.

There are several benefits to openness in DIMS systems and algorithms, including:

Transparency: Openness ensures transparency in the way that personal data is collected, processed, and stored, providing users with greater confidence and trust in the system.

Accessibility: Openness ensures that the system is accessible to all users, regardless of their technical expertise, ensuring that everyone has the ability to participate and engage with the system.

Interoperability: Openness ensures that the system is interoperable with other systems and algorithms, enabling seamless integration and collaboration with other systems and data sources.

Innovation: Openness encourages innovation and collaboration, allowing for the development of new ideas and solutions that can improve the system and enhance its capabilities.",1,,1,,"Algorithms and systems used in the DIMS are bespoke, or proprietary.",Algorithms and systems used in the DIMS are standard and widely recognised.,,,,No verification of user comprehension of applied policies.,User comprehension of applied policies has been verified.,,,
E.AU,Audit-trail on how the Identity was used,"An audit trail (also known as an audit log) is a security-relevant chronological record, set of records, and/or destination and source of records that provides documentary evidence of the sequence of activities that have impacted a particular operation, method, event, or equipment at any given time.",1,,1,,Log-sources and logging policies are not documented.,"Log-sources are identified, as well as logging-policies.",,,,"Log is neither rotated, nor transferred to a secure log management infrastructure.","Log is rotated, but not transferred to a secure log management infrastructure.",Log is rotated and transferred to a secure log management infrastructure.,,
